location,date,epiweek,season,epiyear,population,pop_served,count,weekly_rate,type
Michigan,2022-04-02,13,2021-22,2022,10032075,1304169.75,4,0.3,Crude Rate
Minnesota,2022-04-02,13,2021-22,2022,5716548,3144101.4000000004,13,0.4,Crude Rate
New Mexico,2022-04-02,13,2021-22,2022,2100079,672025.28,4,0.6,Crude Rate
New York,2022-04-02,13,2021-22,2022,19657190,1769147.0999999999,2,0.1,Crude Rate
Oregon,2022-04-02,13,2021-22,2022,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2022-04-02,13,2021-22,2022,7030607,1827957.82,0,0,Crude Rate
Utah,2022-04-02,13,2021-22,2022,3376238,1215445.68,2,0.2,Crude Rate
California,2022-04-09,14,2021-22,2022,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2022-04-09,14,2021-22,2022,5803748,2843836.52,11,0.4,Crude Rate
Connecticut,2022-04-09,14,2021-22,2022,3621089,869061.36,0,0,Crude Rate
Georgia,2022-04-09,14,2021-22,2022,10855454,4233627.0600000005,4,0.1,Crude Rate
Maryland,2022-04-09,14,2021-22,2022,6133130,2821239.8000000003,0,0,Crude Rate
Michigan,2022-04-09,14,2021-22,2022,10032075,1304169.75,5,0.4,Crude Rate
Minnesota,2022-04-09,14,2021-22,2022,5716548,3144101.4000000004,9,0.3,Crude Rate
New Mexico,2022-04-09,14,2021-22,2022,2100079,672025.28,7,1,Crude Rate
New York,2022-04-09,14,2021-22,2022,19657190,1769147.0999999999,4,0.2,Crude Rate
Oregon,2022-04-09,14,2021-22,2022,4238665,1822625.95,0,0,Crude Rate
Tennessee,2022-04-09,14,2021-22,2022,7030607,1827957.82,4,0.2,Crude Rate
Utah,2022-04-09,14,2021-22,2022,3376238,1215445.68,4,0.3,Crude Rate
California,2022-04-16,15,2021-22,2022,38886551,3499789.59,0,0,Crude Rate
Colorado,2022-04-16,15,2021-22,2022,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2022-04-16,15,2021-22,2022,3621089,869061.36,1,0.1,Crude Rate
Georgia,2022-04-16,15,2021-22,2022,10855454,4233627.0600000005,0,0,Crude Rate
Maryland,2022-04-16,15,2021-22,2022,6133130,2821239.8000000003,3,0.1,Crude Rate
Michigan,2022-04-16,15,2021-22,2022,10032075,1304169.75,3,0.2,Crude Rate
Minnesota,2022-04-16,15,2021-22,2022,5716548,3144101.4000000004,19,0.6,Crude Rate
New Mexico,2022-04-16,15,2021-22,2022,2100079,672025.28,3,0.4,Crude Rate
New York,2022-04-16,15,2021-22,2022,19657190,1769147.0999999999,5,0.3,Crude Rate
Oregon,2022-04-16,15,2021-22,2022,4238665,1822625.95,5,0.3,Crude Rate
Tennessee,2022-04-16,15,2021-22,2022,7030607,1827957.82,2,0.1,Crude Rate
Utah,2022-04-16,15,2021-22,2022,3376238,1215445.68,4,0.3,Crude Rate
California,2022-04-23,16,2021-22,2022,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2022-04-23,16,2021-22,2022,5803748,2843836.52,11,0.4,Crude Rate
Connecticut,2022-04-23,16,2021-22,2022,3621089,869061.36,3,0.4,Crude Rate
Georgia,2022-04-23,16,2021-22,2022,10855454,4233627.0600000005,8,0.2,Crude Rate
Maryland,2022-04-23,16,2021-22,2022,6133130,2821239.8000000003,3,0.1,Crude Rate
Michigan,2022-04-23,16,2021-22,2022,10032075,1304169.75,1,0.1,Crude Rate
Minnesota,2022-04-23,16,2021-22,2022,5716548,3144101.4000000004,16,0.5,Crude Rate
New Mexico,2022-04-23,16,2021-22,2022,2100079,672025.28,1,0.1,Crude Rate
New York,2022-04-23,16,2021-22,2022,19657190,1769147.0999999999,2,0.1,Crude Rate
Oregon,2022-04-23,16,2021-22,2022,4238665,1822625.95,4,0.2,Crude Rate
Tennessee,2022-04-23,16,2021-22,2022,7030607,1827957.82,5,0.3,Crude Rate
Utah,2022-04-23,16,2021-22,2022,3376238,1215445.68,0,0,Crude Rate
California,2022-04-30,17,2021-22,2022,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2022-04-30,17,2021-22,2022,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2022-04-30,17,2021-22,2022,3621089,869061.36,5,0.6,Crude Rate
Georgia,2022-04-30,17,2021-22,2022,10855454,4233627.0600000005,13,0.3,Crude Rate
Maryland,2022-04-30,17,2021-22,2022,6133130,2821239.8000000003,3,0.1,Crude Rate
Michigan,2022-04-30,17,2021-22,2022,10032075,1304169.75,3,0.2,Crude Rate
Minnesota,2022-04-30,17,2021-22,2022,5716548,3144101.4000000004,19,0.6,Crude Rate
New Mexico,2022-04-30,17,2021-22,2022,2100079,672025.28,2,0.3,Crude Rate
New York,2022-04-30,17,2021-22,2022,19657190,1769147.0999999999,2,0.1,Crude Rate
Oregon,2022-04-30,17,2021-22,2022,4238665,1822625.95,5,0.3,Crude Rate
Tennessee,2022-04-30,17,2021-22,2022,7030607,1827957.82,4,0.2,Crude Rate
Utah,2022-04-30,17,2021-22,2022,3376238,1215445.68,1,0.1,Crude Rate
California,2022-05-07,18,2021-22,2022,38886551,3499789.59,0,0,Crude Rate
Colorado,2022-05-07,18,2021-22,2022,5803748,2843836.52,6,0.2,Crude Rate
Connecticut,2022-05-07,18,2021-22,2022,3621089,869061.36,2,0.2,Crude Rate
Georgia,2022-05-07,18,2021-22,2022,10855454,4233627.0600000005,8,0.2,Crude Rate
Maryland,2022-05-07,18,2021-22,2022,6133130,2821239.8000000003,3,0.1,Crude Rate
