reference_date,target,target_end_date,horizon,location_number,location,output_type,output_type_id,value
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.01,0
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.025,0
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.05,0
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.1,0
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.15,0
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.2,11
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.25,11
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.3,11
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.35,11
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.4,11
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.45,11
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.5,22
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.55,22
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.6,22
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.65,22
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.7,33
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.75,33
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.8,33
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.85,44
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.9,44
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.95,56
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.975,67
2023-06-03,inc hosp,2023-06-10,1,06,California,quantile,0.99,89
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.01,0
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.025,0
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.05,0
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.1,0
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.15,0
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.2,0
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.25,11
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.3,11
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.35,11
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.4,11
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.45,11
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.5,22
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.55,22
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.6,22
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.65,22
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.7,33
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.75,33
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.8,33
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.85,44
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.9,56
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.95,67
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.975,78
2023-06-03,inc hosp,2023-06-17,2,06,California,quantile,0.99,100
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.01,0
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.025,0
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.05,0
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.1,0
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.15,0
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.2,0
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.25,11
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.3,11
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.35,11
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.4,11
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.45,11
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.5,22
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.55,22
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.6,22
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.65,22
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.7,33
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.75,33
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.8,44
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.85,44
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.9,56
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.95,78
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.975,89
2023-06-03,inc hosp,2023-06-24,3,06,California,quantile,0.99,111
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.01,0
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.025,0
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.05,0
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.1,0
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.15,0
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.2,0
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.25,11
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.3,11
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.35,11
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.4,11
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.45,11
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.5,22
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.55,22
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.6,22
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.65,22
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.7,33
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.75,33
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.8,44
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.85,44
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.9,56
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.95,78
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.975,100
2023-06-03,inc hosp,2023-07-01,4,06,California,quantile,0.99,133
2023-06-03,inc hosp,2023-06-10,1,08,Colorado,quantile,0.01,0
2023-06-03,inc hosp,2023-06-10,1,08,Colorado,quantile,0.025,0
2023-06-03,inc hosp,2023-06-10,1,08,Colorado,quantile,0.05,0
