reference_date,target,target_end_date,horizon,location_number,location,output_type,output_type_id,value
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.01,0
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.025,0
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.05,0
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.1,0
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.15,11
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.2,11
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.25,11
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.3,11
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.35,22
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.4,22
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.45,22
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.5,22
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.55,33
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.6,33
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.65,33
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.7,33
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.75,44
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.8,44
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.85,56
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.9,67
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.95,78
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.975,89
2023-08-19,inc hosp,2023-08-26,1,06,California,quantile,0.99,111
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.01,0
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.025,0
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.05,0
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.1,0
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.15,11
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.2,11
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.25,11
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.3,11
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.35,22
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.4,22
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.45,22
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.5,22
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.55,33
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.6,33
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.65,33
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.7,44
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.75,44
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.8,56
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.85,56
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.9,67
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.95,89
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.975,111
2023-08-19,inc hosp,2023-09-02,2,06,California,quantile,0.99,133
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.01,0
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.025,0
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.05,0
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.1,0
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.15,11
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.2,11
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.25,11
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.3,11
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.35,22
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.4,22
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.45,22
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.5,22
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.55,33
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.6,33
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.65,44
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.7,44
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.75,44
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.8,56
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.85,67
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.9,78
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.95,100
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.975,133
2023-08-19,inc hosp,2023-09-09,3,06,California,quantile,0.99,167
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.01,0
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.025,0
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.05,0
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.1,0
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.15,11
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.2,11
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.25,11
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.3,11
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.35,22
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.4,22
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.45,22
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.5,33
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.55,33
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.6,33
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.65,44
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.7,44
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.75,56
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.8,67
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.85,78
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.9,89
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.95,122
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.975,156
2023-08-19,inc hosp,2023-09-16,4,06,California,quantile,0.99,211
2023-08-19,inc hosp,2023-08-26,1,08,Colorado,quantile,0.01,0
2023-08-19,inc hosp,2023-08-26,1,08,Colorado,quantile,0.025,0
2023-08-19,inc hosp,2023-08-26,1,08,Colorado,quantile,0.05,0
2023-08-19,inc hosp,2023-08-26,1,08,Colorado,quantile,0.1,0
2023-08-19,inc hosp,2023-08-26,1,08,Colorado,quantile,0.15,0
2023-08-19,inc hosp,2023-08-26,1,08,Colorado,quantile,0.2,2
