reference_date,target,target_end_date,horizon,location_number,location,output_type,output_type_id,value
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.01,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.025,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.05,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.1,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.15,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.2,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.25,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.3,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.35,0
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.4,11
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.45,11
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.5,11
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.55,11
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.6,11
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.65,11
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.7,22
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.75,22
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.8,22
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.85,22
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.9,33
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.95,44
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.975,56
2023-07-15,inc hosp,2023-07-22,1,06,California,quantile,0.99,67
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.01,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.025,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.05,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.1,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.15,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.2,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.25,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.3,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.35,0
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.4,11
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.45,11
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.5,11
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.55,11
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.6,11
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.65,11
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.7,22
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.75,22
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.8,22
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.85,33
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.9,33
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.95,44
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.975,56
2023-07-15,inc hosp,2023-07-29,2,06,California,quantile,0.99,67
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.01,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.025,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.05,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.1,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.15,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.2,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.25,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.3,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.35,0
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.4,11
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.45,11
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.5,11
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.55,11
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.6,11
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.65,11
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.7,22
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.75,22
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.8,22
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.85,33
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.9,33
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.95,56
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.975,67
2023-07-15,inc hosp,2023-08-05,3,06,California,quantile,0.99,78
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.01,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.025,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.05,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.1,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.15,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.2,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.25,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.3,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.35,0
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.4,11
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.45,11
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.5,11
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.55,11
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.6,11
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.65,22
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.7,22
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.75,22
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.8,33
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.85,33
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.9,44
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.95,56
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.975,67
2023-07-15,inc hosp,2023-08-12,4,06,California,quantile,0.99,89
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.01,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.025,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.05,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.1,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.15,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.2,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.25,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.3,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.35,0
2023-07-15,inc hosp,2023-07-22,1,08,Colorado,quantile,0.4,0
