location,date,epiweek,epiyear,population,pop_served,count,weekly_rate
Colorado,2021-03-27,12,2021,5803748,2843836.52,0,0
Connecticut,2021-03-27,12,2021,3621089,869061.36,1,0.1
Georgia,2021-03-27,12,2021,10855454,4233627.0600000005,8,0.2
Maryland,2021-03-27,12,2021,6133130,2821239.8000000003,0,0
Michigan,2021-03-27,12,2021,10032075,1304169.75,0,0
Minnesota,2021-03-27,12,2021,5716548,3144101.4000000004,0,0
New Mexico,2021-03-27,12,2021,2100079,672025.28,0,0
New York,2021-03-27,12,2021,19657190,1769147.0999999999,0,0
Oregon,2021-03-27,12,2021,4238665,1822625.95,0,0
Tennessee,2021-03-27,12,2021,7030607,1827957.82,0,0
Utah,2021-03-27,12,2021,3376238,1215445.68,0,0
California,2021-04-03,13,2021,38886551,3499789.59,0,0
Colorado,2021-04-03,13,2021,5803748,2843836.52,0,0
Connecticut,2021-04-03,13,2021,3621089,869061.36,0,0
Georgia,2021-04-03,13,2021,10855454,4233627.0600000005,4,0.1
Maryland,2021-04-03,13,2021,6133130,2821239.8000000003,0,0
Michigan,2021-04-03,13,2021,10032075,1304169.75,0,0
Minnesota,2021-04-03,13,2021,5716548,3144101.4000000004,0,0
New Mexico,2021-04-03,13,2021,2100079,672025.28,0,0
New York,2021-04-03,13,2021,19657190,1769147.0999999999,0,0
Oregon,2021-04-03,13,2021,4238665,1822625.95,0,0
Tennessee,2021-04-03,13,2021,7030607,1827957.82,0,0
Utah,2021-04-03,13,2021,3376238,1215445.68,0,0
California,2021-04-10,14,2021,38886551,3499789.59,0,0
Colorado,2021-04-10,14,2021,5803748,2843836.52,0,0
Connecticut,2021-04-10,14,2021,3621089,869061.36,0,0
Georgia,2021-04-10,14,2021,10855454,4233627.0600000005,13,0.3
Maryland,2021-04-10,14,2021,6133130,2821239.8000000003,0,0
Michigan,2021-04-10,14,2021,10032075,1304169.75,1,0.1
Minnesota,2021-04-10,14,2021,5716548,3144101.4000000004,0,0
New Mexico,2021-04-10,14,2021,2100079,672025.28,0,0
New York,2021-04-10,14,2021,19657190,1769147.0999999999,0,0
Oregon,2021-04-10,14,2021,4238665,1822625.95,0,0
Tennessee,2021-04-10,14,2021,7030607,1827957.82,0,0
Utah,2021-04-10,14,2021,3376238,1215445.68,0,0
California,2021-04-17,15,2021,38886551,3499789.59,0,0
Colorado,2021-04-17,15,2021,5803748,2843836.52,0,0
Connecticut,2021-04-17,15,2021,3621089,869061.36,1,0.1
Georgia,2021-04-17,15,2021,10855454,4233627.0600000005,8,0.2
Maryland,2021-04-17,15,2021,6133130,2821239.8000000003,0,0
Michigan,2021-04-17,15,2021,10032075,1304169.75,0,0
Minnesota,2021-04-17,15,2021,5716548,3144101.4000000004,0,0
New Mexico,2021-04-17,15,2021,2100079,672025.28,0,0
New York,2021-04-17,15,2021,19657190,1769147.0999999999,0,0
Oregon,2021-04-17,15,2021,4238665,1822625.95,0,0
Tennessee,2021-04-17,15,2021,7030607,1827957.82,4,0.2
Utah,2021-04-17,15,2021,3376238,1215445.68,0,0
California,2021-04-24,16,2021,38886551,3499789.59,0,0
Colorado,2021-04-24,16,2021,5803748,2843836.52,0,0
Connecticut,2021-04-24,16,2021,3621089,869061.36,0,0
Georgia,2021-04-24,16,2021,10855454,4233627.0600000005,8,0.2
Maryland,2021-04-24,16,2021,6133130,2821239.8000000003,0,0
Michigan,2021-04-24,16,2021,10032075,1304169.75,0,0
Minnesota,2021-04-24,16,2021,5716548,3144101.4000000004,0,0
New Mexico,2021-04-24,16,2021,2100079,672025.28,0,0
New York,2021-04-24,16,2021,19657190,1769147.0999999999,0,0
Oregon,2021-04-24,16,2021,4238665,1822625.95,0,0
Tennessee,2021-04-24,16,2021,7030607,1827957.82,4,0.2
Utah,2021-04-24,16,2021,3376238,1215445.68,0,0
California,2021-05-01,17,2021,38886551,3499789.59,0,0
Colorado,2021-05-01,17,2021,5803748,2843836.52,0,0
